Workload,Replication,AllowReneging,LambdaInput,SimDuration,Warmup,E_r_sim,E_r_ci95,lambda_effective,E_N_sim,P_reject_N_max,total_in,total_out,total_rejected,total_reneged
WL-RAMP-3X-120M-REP01,1,0,0.16666666666666666,600.0,120.0,21.18162572067504,3.548186813249671,0.24412955680500406,5.171060899597872,0.0,150,150,0,0
WL-RAMP-3X-120M-REP02,2,0,0.16666666666666666,600.0,120.0,18.666621806401203,3.3043686044520313,0.1920883715319899,3.585640984795139,0.0,122,122,0,0
WL-RAMP-3X-120M-REP03,3,0,0.16666666666666666,600.0,120.0,17.615555740719344,3.5054670525334606,0.20942211585740414,3.6890869552254872,0.0,127,127,0,0
WL-RAMP-3X-120M-REP04,4,0,0.16666666666666666,600.0,120.0,22.986718507102026,5.419642450743308,0.2016564402700298,4.6354198276314085,0.0,132,132,0,0
WL-RAMP-3X-120M-REP05,5,0,0.16666666666666666,600.0,120.0,20.985612064630637,3.9629775085140255,0.24514594520941044,5.144537705381885,0.0,153,153,0,0
WL-RAMP-3X-120M-REP06,6,0,0.16666666666666666,600.0,120.0,23.22966860703742,5.175264278174681,0.21043449202883158,4.888323513320016,0.0,137,137,0,0
WL-RAMP-3X-120M-REP07,7,0,0.16666666666666666,600.0,120.0,24.007942893541706,5.759825187656479,0.20329321177485715,4.880651818935451,0.0,136,136,0,0
WL-RAMP-3X-120M-REP08,8,0,0.16666666666666666,600.0,120.0,17.66726715828283,3.1409064439982353,0.2478629349843864,4.379060691005242,0.0,152,152,0,0
WL-RAMP-3X-120M-REP09,9,0,0.16666666666666666,600.0,120.0,16.178324980701596,2.7115289504644244,0.24644265006161545,3.987029281802135,0.0,151,151,0,0
WL-RAMP-3X-120M-REP10,10,0,0.16666666666666666,600.0,120.0,19.43777786021164,3.8026265700112556,0.23223513569530793,4.514134978981502,0.0,142,142,0,0
WL-RAMP-3X-120M-REP11,11,0,0.16666666666666666,600.0,120.0,22.764776679679365,3.928680333363768,0.25464535701025415,5.79694468485566,0.0,159,159,0,0
WL-RAMP-3X-120M-REP12,12,0,0.16666666666666666,600.0,120.0,21.764076548024157,4.770173836523723,0.19959030469132732,4.343898669545513,0.0,130,130,0,0
WL-RAMP-3X-120M-REP13,13,0,0.16666666666666666,600.0,120.0,21.388545351966762,4.323910799335168,0.23886044474888724,5.108877455302526,0.0,146,146,0,0
WL-RAMP-3X-120M-REP14,14,0,0.16666666666666666,600.0,120.0,24.1230196561488,4.631846670629749,0.24330601616340622,5.869275810369105,0.0,150,150,0,0
WL-RAMP-3X-120M-REP15,15,0,0.16666666666666666,600.0,120.0,16.643655008529375,3.4635978020869915,0.22018099519242165,3.664616523417331,0.0,140,140,0,0
WL-RAMP-3X-120M-REP16,16,0,0.16666666666666666,600.0,120.0,17.148082544111112,3.989617474798584,0.20928903638191965,3.588905671454632,0.0,130,130,0,0
WL-RAMP-3X-120M-REP17,17,0,0.16666666666666666,600.0,120.0,22.276495887002017,3.550490368022318,0.2266203303129721,5.048306856127962,0.0,140,140,0,0
WL-RAMP-3X-120M-REP18,18,0,0.16666666666666666,600.0,120.0,21.511779002540905,3.9161763683670205,0.23011357111912487,4.950152287400093,0.0,145,145,0,0
WL-RAMP-3X-120M-REP19,19,0,0.16666666666666666,600.0,120.0,20.059944986756758,4.132290675470757,0.2027289793613479,4.066732173209985,0.0,124,124,0,0
WL-RAMP-3X-120M-REP20,20,0,0.16666666666666666,600.0,120.0,20.318916863847864,4.243609002059276,0.23804640303417002,4.836845072989322,0.0,146,146,0,0
WL-RAMP-3X-120M-REP21,21,0,0.16666666666666666,600.0,120.0,23.94233646091723,3.9874072608175872,0.2265672284446287,5.424548814438797,0.0,139,139,0,0
WL-RAMP-3X-120M-REP22,22,0,0.16666666666666666,600.0,120.0,23.763268115536153,5.290403198993918,0.2071694110505129,4.923022260131057,0.0,131,131,0,0
WL-RAMP-3X-120M-REP23,23,0,0.16666666666666666,600.0,120.0,20.18234573969231,4.086515791748404,0.20399375101485637,4.11707241171854,0.0,140,140,0,0
WL-RAMP-3X-120M-REP24,24,0,0.16666666666666666,600.0,120.0,23.030301576134086,4.98824615748159,0.19934169509821606,4.590899354809686,0.0,122,122,0,0
WL-RAMP-3X-120M-REP25,25,0,0.16666666666666666,600.0,120.0,18.424106778143667,3.8627930869940252,0.22372260876807898,4.1218892326279475,0.0,146,146,0,0
WL-RAMP-3X-120M-REP26,26,0,0.16666666666666666,600.0,120.0,23.004283044000886,5.52454777048727,0.17736011960836104,4.080042392188589,0.0,120,120,0,0
WL-RAMP-3X-120M-REP27,27,0,0.16666666666666666,600.0,120.0,21.125581213093312,3.6180923904250237,0.23974095549719712,5.064667025460627,0.0,146,146,0,0
WL-RAMP-3X-120M-REP28,28,0,0.16666666666666666,600.0,120.0,26.748260883111367,5.0104366113090135,0.23405512845913282,6.260567637055028,0.0,141,141,0,0
WL-RAMP-3X-120M-REP29,29,0,0.16666666666666666,600.0,120.0,19.615474638327875,3.8792953607309437,0.22204260917696142,4.355471168938835,0.0,136,136,0,0
WL-RAMP-3X-120M-REP30,30,0,0.16666666666666666,600.0,120.0,16.56691808958098,3.248552172829725,0.21968539339316184,3.639509917821887,0.0,133,133,0,0
